Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
1980,0.03,0.00,0.07,0.24,0.00,0.00,0.00,0.00,0.62,0.00,0.04,0.00
1981,0.41,0.00,0.00,0.00,0.19,0.06,0.01,0.00,0.28,0.01,0.02,0.00
1982,0.23,0.00,0.00,0.03,0.17,0.35,0.05,0.00,0.13,0.00,0.04,0.00
1983,0.17,0.02,0.00,0.13,0.41,0.05,0.00,0.00,0.03,0.00,0.19,0.00
1984,0.04,0.00,0.00,0.03,0.01,0.06,0.12,0.00,0.62,0.00,0.12,0.00
1985,0.07,0.00,0.02,0.00,0.80,0.06,0.00,0.00,0.02,0.00,0.04,0.00
1986,0.37,0.00,0.00,0.00,0.25,0.00,0.05,0.07,0.10,0.00,0.15,0.00
1987,0.05,0.20,0.25,0.00,0.08,0.00,0.00,0.21,0.03,0.00,0.17,0.00
1988,0.04,0.00,0.00,0.00,0.59,0.12,0.05,0.12,0.01,0.00,0.08,0.00
1989,0.06,0.00,0.00,0.02,0.28,0.51,0.00,0.03,0.02,0.00,0.08,0.00
1990,0.13,0.00,0.00,0.00,0.47,0.12,0.13,0.09,0.00,0.02,0.04,0.00
1991,0.21,0.07,0.01,0.00,0.24,0.10,0.04,0.10,0.06,0.07,0.07,0.03
1992,0.05,0.16,0.20,0.06,0.18,0.06,0.12,0.09,0.00,0.03,0.04,0.00
1993,0.04,0.00,0.19,0.01,0.41,0.07,0.01,0.12,0.07,0.00,0.07,0.02
1994,0.02,0.05,0.11,0.04,0.36,0.02,0.03,0.09,0.10,0.03,0.11,0.04
1995,0.04,0.01,0.17,0.07,0.19,0.03,0.07,0.16,0.05,0.05,0.09,0.07
1996,0.10,0.02,0.09,0.05,0.14,0.02,0.14,0.22,0.03,0.06,0.09,0.03
1997,0.14,0.02,0.06,0.03,0.11,0.03,0.16,0.11,0.11,0.05,0.15,0.04
1998,0.15,0.04,0.12,0.05,0.12,0.02,0.11,0.11,0.04,0.03,0.16,0.05
1999,0.11,0.03,0.06,0.08,0.08,0.01,0.15,0.20,0.05,0.05,0.12,0.07
2000,0.17,0.01,0.10,0.08,0.08,0.02,0.10,0.14,0.03,0.02,0.20,0.04
2001,0.18,0.03,0.05,0.05,0.12,0.02,0.17,0.07,0.07,0.06,0.16,0.02
2002,0.22,0.03,0.06,0.04,0.12,0.01,0.08,0.11,0.12,0.03,0.17,0.01
2003,0.19,0.01,0.07,0.07,0.12,0.01,0.15,0.08,0.08,0.06,0.16,0.02
2004,0.18,0.02,0.04,0.07,0.11,0.02,0.11,0.13,0.11,0.03,0.15,0.02
2005,0.19,0.02,0.04,0.13,0.05,0.04,0.12,0.06,0.09,0.11,0.13,0.01
2006,0.13,0.02,0.04,0.13,0.10,0.02,0.07,0.11,0.07,0.04,0.26,0.01
2007,0.17,0.04,0.03,0.15,0.06,0.04,0.06,0.07,0.12,0.08,0.16,0.02
2008,0.20,0.04,0.05,0.13,0.05,0.02,0.10,0.09,0.09,0.07,0.14,0.02
2009,0.21,0.03,0.05,0.12,0.06,0.03,0.05,0.07,0.10,0.05,0.21,0.02
2010,0.20,0.03,0.02,0.16,0.05,0.02,0.06,0.12,0.13,0.04,0.15,0.02
2011,0.23,0.03,0.04,0.11,0.05,0.01,0.07,0.10,0.19,0.03,0.11,0.02
2012,0.34,0.02,0.03,0.06,0.05,0.00,0.04,0.13,0.20,0.04,0.09,0.01
2013,0.34,0.02,0.02,0.07,0.07,0.00,0.04,0.12,0.17,0.02,0.11,0.02
2014,0.29,0.02,0.05,0.07,0.03,0.00,0.05,0.14,0.20,0.02,0.14,0.00
2015,0.27,0.03,0.03,0.04,0.02,0.00,0.03,0.14,0.25,0.02,0.16,0.01
2016,0.28,0.03,0.05,0.02,0.03,0.00,0.02,0.10,0.26,0.01,0.21,0.01
